business_id,name,rating,review_count,overall_sentiment_vader,instructor_sentiment_vader,cleanliness_sentiment_vader,intensity_sentiment_vader,vibe_sentiment_vader,customer_service_sentiment_vader,space_equipment_sentiment_vader,parking_sentiment_vader,price_sentiment_vader,variety_sentiment_vader,crowdedness_sentiment_vader,music_sentiment_vader,city,address,latitude,longitude,google_place_id,google_rating,google_user_ratings_total
FQIOli0nzuHRLQErD4u7RQ,Natural Pilates - West Hollywood,5.0,72,0.5271210526315788,0.854725,0.7845,0.9806,0.5859,0.8707499999999999,0.7424999999999999,0.9806,0.9806,0.8481,0.9806,0.9806,Los Angeles,8436 W 3rd Street 90048,34.0729,-118.37455,ChIJ2YCktsG5woARrAt4sf8RIJs,5,241
BFRUNDBo2V7w_AaVnUzXIA,Avenir - LA,4.6,87,0.1340615384615384,0.0921999999999999,0.4019,0.9133,0.1732999999999999,0.2876666666666667,0.0,0.9133,0.0,0.5019999999999999,0.9133,0.8442,Los Angeles,4370 Fountain Ave,34.0956314803871,-118.285462396277,ChIJ4fRVXae4woAREJ-y6HEWD5A,4.9,143
bkpHUUHBG27ArxN5E1a94w,Pilates Body Fusion,5.0,27,0.2921249999999999,0.0,0.9773,0.9773,0.9773,0.3182,0.9773,0.9773,0.9773,0.9773,0.9773,0.9773,Los Angeles,,34.048636,-118.338684,ChIJh_U_7X65woARyfLInqpN1fI,5,2
YNMlbECs8D9PMkw4GCpa-A,Love for Pilates - West Hollywood,4.3,26,0.458335294117647,0.8961,0.9747,0.8755999999999999,0.1243,0.4215,0.5882999999999999,0.58565,0.42255,0.83355,0.9747,0.9747,Los Angeles,7926 Beverly Blvd,34.0759751,-118.3621421,ChIJHd-NlzO5woARxDriAaK9_Y0,4.7,13
TY3LMy1reCEJ5eZJAXJHjA,l.a. springs,5.0,7,0.2550157894736842,0.3448799999999999,0.931,0.931,0.8885,0.931,0.0,0.931,0.931,0.41825,0.931,0.8885,Los Angeles,2145 Sunset Blvd,34.07757,-118.26492,ChIJv68x5L3HwoARt-OrHtz2qwo,5,28
w4_gKdLY_k6HVOf-ck1RJQ,Studio Metamorphosis,4.9,23,0.32615,0.46425,0.7845,0.144,0.9321,0.6808,0.9321,0.9321,0.9321,0.9321,0.9321,0.9321,Los Angeles,1946 Hillhurst Ave,34.10664,-118.2872751,ChIJVVWFI7DAwoARSagaFF0753M,5,3
mqqXCUlZE9f9Y_qc36YO2Q,Pilates Platinum,4.6,385,0.3992470588235294,0.38358,0.6808,0.64495,0.9503,0.5320666666666667,0.4215,0.0,0.9503,0.9503,0.9503,0.9503,Los Angeles,11755 Wilshire Blvd,34.0489,-118.46213,ChIJPeEOUme7woARsa9qexCCnCo,4.4,17
2YJInLs0SCdu-OFC_BOZOg,Focus Pilates,4.9,34,0.3693611111111111,0.55958,0.80775,0.57285,0.6673,0.5095,0.47375,0.8977,0.9802,0.9802,0.9802,0.0,North Hollywood,11135 Weddington St,34.167179,-118.37424,ChIJSw-2ZMyVwoAR0E0tjvnILgo,5,108
TONf1XoHs0WQoZVLgjwk9Q,Spiked Wellness,4.8,4,0.4115111111111111,0.7579,0.7579,0.3612,0.7579,0.887,0.887,0.6948,0.5994,0.5994,0.887,0.887,Los Angeles,840 S Robertson Blvd,34.06165,-118.38338,ChIJw1pTJQa5woARjuwMh6uE_yg,5,11
g6vzzdYlmMDpMgxP2BYgQQ,Be Kind Studios,4.6,26,0.3136705882352941,0.31955,0.9186,0.71445,0.3918,0.40115,0.9758,0.3612,0.9758,0.9758,0.3612,0.2732,West Hollywood,607 N W Knoll Dr,34.082275,-118.377873,ChIJ5VsiSvG_woARGK2NaEt21vs,4.9,48
rfIl_NCrfc4GdSg5Y3giew,ToeToe Pilates,5.0,5,0.4134416666666666,0.8481,0.4019,0.9774,0.3384,0.9774,0.9774,0.8481,0.9774,0.20095,0.9774,0.3384,Los Angeles,301 S Western Ave,34.0685744,-118.30953377417812,ChIJK_QpZCG5woARpyP4DLfesgc,5,11
1BePKX9VfxwO1YyiYg8I5w,HEIMAT,3.7,53,0.2766588235294117,-0.3716,0.5704666666666666,0.8519,0.71825,0.24015,0.3705,0.799,0.799,-0.3716,0.0,0.799,Los Angeles,960 N La Brea Ave,34.08868,-118.34386,ChIJKbQCRYi_woARSI9_DDreScc,4,174
KMpKY6AukNxrga8sRoLXqw,Hills & Heights Pilates,4.9,18,0.314095652173913,0.43895,0.9905,0.891,0.4455,0.9358,0.9905,0.431,0.9905,0.0,0.9905,0.0,Los Angeles,5124 W Adams Blvd,34.032182,-118.35325,ChIJwSjiImi5woARjd5uZnMw8Bw,5,38
4Kw5xSYJ2fd5XDSy33NGaQ,Lia Pilates,5.0,10,0.4502312499999999,0.4949999999999999,0.9791,0.1531,0.8481,0.9791,0.9791,0.9791,0.34,0.1531,0.9791,0.9791,Los Angeles,14006 Riverside Dr,34.156232345979284,-118.43807839999997,ChIJVVVJQzOWwoARrZmJFLtsNSk,5,1
EWXS5fyuR7AjAtyIgoH6VA,Chava Pilates,5.0,11,0.35419,0.5670333333333333,0.9744,0.9744,0.8015,0.9744,0.9744,0.9744,0.9744,0.0,0.8015,0.8015,Los Angeles,1331 N Cahuenga Blvd,34.0944483953004,-118.3291871828066,ChIJDaQUP3C_woARkutIordFNXw,4.6,21
Wg4AYCrn2Uh3FEWzdBygUw,Pilates Body Beverly Hills,5.0,3,0.3601307692307692,0.28885,0.8098000000000001,0.979,0.7128,0.979,0.0,0.979,0.979,0.0,0.979,0.8479,Los Angeles,339 S Robertson Blvd,34.061053,-118.383887,ChIJoWFfq1m5woARHY9dDl-Ovek,4.8,48
F2mzASB2fvnsdpys9uMFbg,Hummingbird Pilates,4.9,29,0.1467294117647058,0.272675,0.7269,0.9877,0.9181,0.891,0.9877,0.7269,0.9877,-0.7184,0.9877,0.9181,Los Angeles,367 S Doheny Dr,34.0597275320154,-118.389926461377,ChIJBwsrVVi5woAR6kaiWdEZ8J4,5,15
5nBFefBsiQ9rejFWLS40SA,Mind & Motion,5.0,24,0.3097210526315789,0.4481,0.969,0.1531,0.4939,0.969,0.969,0.969,0.969,0.1531,0.1531,0.969,Los Angeles,5650 W 3rd St,34.068744,-118.343249,ChIJkZwRdSy5woAR9jhIVWRgn7U,4.9,37
YcFEcgtvgK9xfhYNXf4U0A,Tribe Pilates,5.0,11,0.4876388888888889,0.5692499999999999,0.4019,0.7579,0.6899500000000001,0.5859,0.5194,0.1819,0.984,0.0,0.984,0.984,Los Angeles,12024 Venice Blvd,34.005482,-118.429348,ChIJLcIWoJ69woARUZpXm8eAPCk,5,24
6cw2k7Y0v21cRasLgPGImA,Made By Pilates - Highland Park,5.0,77,0.31378,0.8062333333333332,0.8689,-0.1531,0.7384666666666666,0.6369,0.54785,0.9686,0.9686,0.1612666666666666,0.9686,0.7096,Los Angeles,117 N Ave 59,34.11112,-118.19103,ChIJXfywrabFwoAR14EjB5tWBE0,5,49
DE87Bmo80ewja0DW6awK4w,Natural Pilates - Beverly Hills,4.9,260,0.37432,0.83585,0.83585,0.3167,0.975,0.4215,0.5438000000000001,0.0,0.975,0.975,0.975,0.975,Beverly Hills,9869 S Santa Monica Blvd,34.066143,-118.411068,ChIJiWPu5fW7woARqRwbuya4Moo,5,318
Nz12-ScjyLecw2-WvjBrnQ,Luminous Physique,5.0,5,0.2348666666666666,0.29295,0.5565,0.5565,0.0,0.5565,0.5565,0.5565,0.5565,0.5565,0.5565,0.5565,Los Angeles,1813 Blake Ave,34.09722260000004,-118.24277922944772,ChIJEfXXyQbHwoARAQ8W0hx6igo,4.8,14
nF2_xR2JaUW6qBMipO8kLA,Refined Pilates Studio,4.9,77,0.3341631578947368,0.7384,0.9572,0.8481,0.0,0.9572,0.4939,0.5994,0.9572,0.7444500000000001,0.9572,0.9572,Whittier,14136 Whittier Blvd,33.95672771569629,-118.0217727858158,ChIJzxZ7PADTwoARa7hlEyhXG9U,4.9,75
0Ugh8OmaJ95KDoW6otJ8iA,[solidcore],3.9,17,0.2064777777777778,0.2906,0.7328,0.4318333333333333,0.56734,0.1381,0.1381,0.6369,0.1381,0.5029,0.1381,0.503,Los Angeles,6677 Santa Monica Blvd,34.09094355821707,-118.33548462127932,ChIJexv6rP6_woARhzD_McN74po,4.2,20
Xru2jpi69YUUquc_uqxdvQ,The Humbled Body,5.0,12,0.3454,0.9699,0.8929,0.9699,0.88595,0.9699,0.7110333333333334,0.0,0.9699,0.2997,0.1901,0.9699,Los Angeles,1450 E 6th St,34.03831827583552,-118.23093155464356,ChIJm1CSLADHwoARZSASim96k9M,4.9,15
x6KdN2wKqHJq3xv1x9tx7g,Let's Pilates,5.0,10,0.1249937499999999,0.4554,0.4019,0.7937,-0.0644,0.9307,0.4019,0.9307,0.34,0.34,0.9307,0.9307,Los Angeles,672 S La Fayette Park Pl,34.06052236549865,-118.2833812,ChIJCQRk4XrHwoARf6Fab_rVFyQ,5,2
jVcBQhI9ZFq4Jvz20Albyw,Natural Pilates - Brentwood,4.9,88,0.4390681818181818,0.36322,0.6808,0.6597,0.65385,0.75185,0.9925,0.9925,0.9925,0.39474,0.9925,0.9925,Los Angeles,11638 1/2 Barrington Ct,34.06489711827202,-118.4692354,ChIJLUcAfLu8woAR4gKIzQ58ZPU,5,258
